"","mean","se_mean","sd","5%","95%","n_eff","Rhat","politician_id_numeric","fullname"
"alpha[433,16]",1.06054318908537,0.0415559951462714,0.593490197370372,0.279087130180973,2.15237306077236,203.966914673223,1.00791549758658,433,"Pete Olson"
"alpha[433,17]",0.825518595570468,0.0397750241670424,0.630875294564596,-0.051850335547462,2.01293104565645,251.574221048294,1.01564295575169,433,"Pete Olson"
"alpha[433,18]",0.438137126771834,0.0632535312705703,0.809602686809746,-0.746925379573423,1.9223904938889,163.822794386095,1.01179585959713,433,"Pete Olson"
"alpha[433,19]",0.826853683052669,0.0502617801171475,0.638440218797954,-0.0469114499196856,1.91748545061992,161.348429948143,1.0348054393833,433,"Pete Olson"
"alpha[433,20]",0.414169201044838,0.0614508542059555,0.852115001498687,-0.836241438252953,1.90834248066049,192.2828602816,1.01145766691622,433,"Pete Olson"
"alpha[433,21]",0.150305468878663,0.102051863172862,0.953130373570651,-1.36190620437689,1.67890724256364,87.2293713987871,1.01786275514532,433,"Pete Olson"
"alpha[433,22]",0.302055025727685,0.0758161102131915,0.801375073630564,-0.95705785785701,1.66484426009689,111.724562244,1.01936654719696,433,"Pete Olson"
"alpha[433,23]",0.045334958642597,0.0696100398368916,0.932060143306777,-1.35846180791982,1.6269798060832,179.285063596633,1.01295632714818,433,"Pete Olson"
"alpha[433,24]",1.02626918106259,0.0443549951690464,0.633298868832469,0.171417911523924,2.1874838155561,203.860155930843,1.00284804268289,433,"Pete Olson"
"alpha[433,25]",0.663142254047115,0.0463191492743783,0.709488314538889,-0.480321574638812,1.93672754962121,234.622331010541,1.02037021638764,433,"Pete Olson"
"alpha[433,26]",0.145745363200062,0.0528313036509213,0.955836290117401,-1.4302153601558,1.76851110362375,327.328918741274,1.00680615148235,433,"Pete Olson"
"alpha[433,27]",0.118194833594678,0.0624037800727335,1.00578695606067,-1.49586105680183,1.70791229938305,259.770722805747,1.0080940325781,433,"Pete Olson"
